driver_id,time,latitude,longitude
94,2014-02-01 00:01:44.990325+01,41.928371483,12.481746351
315,2014-02-01 00:01:45.024381+01,41.899884171,12.46528887
156,2014-02-01 00:01:45.303696+01,41.879969678,12.49547831
228,2014-02-01 00:01:45.346014+01,41.897221955,12.472774218
89,2014-02-01 00:01:46.019978+01,41.801094353,12.451305887
257,2014-02-01 00:01:46.117525+01,41.920346712,12.49148081
187,2014-02-01 00:01:46.129559+01,41.923148333,12.468858333
343,2014-02-01 00:01:46.653979+01,41.892245776,12.469853067
297,2014-02-01 00:01:46.774985+01,41.893018176,12.487614794
191,2014-02-01 00:01:47.126035+01,41.851929343,12.578744386
260,2014-02-01 00:01:48.379223+01,41.865202768,12.465245199
122,2014-02-01 00:01:49.118205+01,41.916462167,12.496859155
58,2014-02-01 00:01:49.688805+01,41.912909622,12.506333076
311,2014-02-01 00:01:49.768777+01,41.90391983,12.488679815
59,2014-02-01 00:01:49.834286+01,41.902762956,12.485227659
362,2014-02-01 00:01:50.088348+01,41.910274875,12.476920956
351,2014-02-01 00:01:50.196471+01,41.910050823,12.496609213
196,2014-02-01 00:01:50.438789+01,41.892229824,12.469779213
172,2014-02-01 00:01:51.007765+01,41.916034969,12.497183799
105,2014-02-01 00:01:51.366763+01,41.897143561,12.47295309
352,2014-02-01 00:01:51.979111+01,41.89782457,12.469338169
188,2014-02-01 00:01:52.206234+01,41.920699899,12.489001529
79,2014-02-01 00:01:52.284089+01,41.89796908,12.46031366
318,2014-02-01 00:01:52.938089+01,41.886833859,12.46930999
321,2014-02-01 00:01:53.218093+01,41.89720425,12.47282273
295,2014-02-01 00:01:53.424793+01,41.896996051,12.472190222
368,2014-02-01 00:01:53.649952+01,41.894068333,12.476148333
197,2014-02-01 00:01:54.202692+01,41.885462402,12.471053783
298,2014-02-01 00:01:54.207832+01,41.898873774,12.464923002
259,2014-02-01 00:01:54.324199+01,41.864199928,12.601739137
135,2014-02-01 00:01:54.646521+01,41.933189952,12.511784705
361,2014-02-01 00:01:54.880204+01,41.927762548,12.482183855
317,2014-02-01 00:01:55.243184+01,41.900390735,12.473077473
104,2014-02-01 00:01:55.527387+01,41.78196399,12.251035169
2,2014-02-01 00:01:55.752943+01,41.909723912,12.510089747
132,2014-02-01 00:01:55.76855+01,41.8637316,12.478735711
248,2014-02-01 00:01:56.044253+01,41.895901992,12.476881887
281,2014-02-01 00:01:56.535955+01,41.898289332,12.473872716
234,2014-02-01 00:01:56.649609+01,41.896954311,12.472422025
341,2014-02-01 00:01:56.842701+01,41.906365506,12.477166845
79,2014-02-01 00:01:56.957454+01,41.89748172,12.46148483
79,2014-02-01 00:01:56.958041+01,41.89748172,12.46148483
331,2014-02-01 00:01:56.975118+01,41.908026896,12.452665055
315,2014-02-01 00:01:57.012116+01,41.899578874,12.466440704
232,2014-02-01 00:01:57.053476+01,41.907906095,12.480359783
53,2014-02-01 00:01:57.259718+01,41.889130632,12.501898147
257,2014-02-01 00:01:57.618558+01,41.919079298,12.490383093
37,2014-02-01 00:01:57.666388+01,41.894468413,12.47506638
79,2014-02-01 00:01:58.147582+01,41.89748172,12.46148483
365,2014-02-01 00:01:58.158395+01,41.895576758,12.483150784
174,2014-02-01 00:01:58.310885+01,41.889812822,12.474507041
291,2014-02-01 00:01:58.327139+01,41.856939199,12.49343857
357,2014-02-01 00:01:58.334289+01,41.845791765,12.476474823
224,2014-02-01 00:01:58.436025+01,41.96544629,12.45318873
61,2014-02-01 00:01:58.51907+01,41.900381667,12.472998333
94,2014-02-01 00:01:58.525307+01,41.928288991,12.482468255
178,2014-02-01 00:01:58.937207+01,41.919058785,12.473666752
228,2014-02-01 00:01:59.038032+01,41.897221955,12.472774218
156,2014-02-01 00:02:00.694461+01,41.879831673,12.495654212
187,2014-02-01 00:02:01.119638+01,41.923148333,12.468858333
297,2014-02-01 00:02:01.978773+01,41.893498342,12.486699036
191,2014-02-01 00:02:02.056922+01,41.851929343,12.578744386
343,2014-02-01 00:02:02.964088+01,41.892211485,12.469869955
260,2014-02-01 00:02:03.010742+01,41.865202768,12.465245199
122,2014-02-01 00:02:03.887468+01,41.915427411,12.496359078
351,2014-02-01 00:02:04.348029+01,41.909757164,12.496661653
311,2014-02-01 00:02:04.441927+01,41.903490213,12.487999265
58,2014-02-01 00:02:04.799966+01,41.911486847,12.504214804
89,2014-02-01 00:02:04.859475+01,41.800595224,12.455352418
196,2014-02-01 00:02:05.563389+01,41.892229824,12.469779213
59,2014-02-01 00:02:06.009976+01,41.902762956,12.485227659
